code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
BBB,2014B,201,F,East Anglian Region,A Level or Equivalent,0-10%,35-55,1,150,N,Distinction
BBB,2014B,202,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,150,N,Fail
DDD,2014B,203,M,North Western Region,No Formal quals,60-70%,55<=,2,60,N,Pass
BBB,2014B,203,M,South East Region,Post Graduate Qualification,10-20%,0-35,0,30,N,Pass
EEE,2014B,204,F,North Western Region,No Formal quals,0-10%,55<=,2,90,N,Pass
CCC,2014B,204,M,West Midlands Region,A Level or Equivalent,30-40%,55<=,1,30,N,Distinction
DDD,2013J,205,F,East Midlands Region,HE Qualification,80-90%,35-55,1,150,N,Pass
BBB,2013J,205,F,Wales,No Formal quals,30-40%,55<=,2,120,N,Pass
BBB,2013J,206,M,South East Region,A Level or Equivalent,40-50%,0-35,2,90,N,Pass
EEE,2014B,207,M,West Midlands Region,HE Qualification,60-70%,55<=,1,60,Y,Pass
DDD,2014B,208,F,East Midlands Region,HE Qualification,30-40%,55<=,0,90,N,Distinction
BBB,2013J,208,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail
EEE,2013J,209,M,East Midlands Region,HE Qualification,10-20%,55<=,0,150,N,Pass
BBB,2013J,210,M,South West Region,HE Qualification,0-10%,55<=,1,120,N,Fail
EEE,2014B,210,M,North Western Region,Lower Than A Level,30-40%,55<=,1,60,N,Fail
BBB,2013J,211,F,East Midlands Region,HE Qualification,0-10%,55<=,0,30,N,Pass
CCC,2013J,212,F,London Region,Lower Than A Level,90-100%,0-35,2,120,N,Pass
AAA,2014B,212,M,East Midlands Region,No Formal quals,70-80%,55<=,1,90,N,Withdrawn
EEE,2014B,213,F,Wales,Lower Than A Level,40-50%,55<=,0,30,N,Withdrawn
DDD,2014B,214,M,North Western Region,No Formal quals,10-20%,35-55,2,120,N,Fail
EEE,2014B,215,F,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
CCC,2013J,216,F,South East Region,Post Graduate Qualification,80-90%,0-35,2,30,N,Pass
DDD,2014B,216,F,East Midlands Region,Lower Than A Level,10-20%,35-55,1,60,N,Distinction
EEE,2014B,217,F,North Western Region,Post Graduate Qualification,20-30%,55<=,1,150,Y,Withdrawn
DDD,2014B,218,F,North Region,HE Qualification,30-40%,55<=,1,150,N,Distinction
EEE,2014B,219,M,Wales,Lower Than A Level,70-80%,35-55,1,30,Y,Fail
BBB,2014B,220,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
CCC,2014B,221,F,North Western Region,Post Graduate Qualification,40-50%,55<=,0,120,N,Fail
EEE,2013J,221,M,London Region,A Level or Equivalent,20-30%,0-35,2,30,N,Fail
BBB,2014B,222,F,East Anglian Region,HE Qualification,40-50%,55<=,1,90,N,Fail
EEE,2014B,223,M,South East Region,A Level or Equivalent,50-60%,55<=,2,120,N,Pass
DDD,2014B,223,M,South East Region,HE Qualification,60-70%,55<=,1,90,N,Pass
BBB,2014B,224,F,East Anglian Region,No Formal quals,80-90%,35-55,2,150,N,Withdrawn
AAA,2014B,225,F,London Region,No Formal quals,10-20%,35-55,2,90,N,Pass
AAA,2014B,226,F,East Anglian Region,Lower Than A Level,50-60%,35-55,0,30,N,Distinction
DDD,2013J,226,M,East Anglian Region,A Level or Equivalent,40-50%,35-55,2,90,N,Fail
CCC,2014B,227,F,London Region,A Level or Equivalent,60-70%,0-35,0,150,N,Fail
AAA,2013J,228,F,Wales,Post Graduate Qualification,90-100%,0-35,1,60,N,Withdrawn
CCC,2013J,229,M,South West Region,HE Qualification,50-60%,0-35,1,30,N,Pass
DDD,2013J,230,M,Wales,No Formal quals,30-40%,55<=,2,150,N,Distinction
EEE,2014B,230,M,North Region,Post Graduate Qualification,10-20%,35-55,1,30,N,Pass
AAA,2014B,231,M,North Western Region,Post Graduate Qualification,10-20%,0-35,1,120,N,Pass
DDD,2013J,231,F,North Western Region,Post Graduate Qualification,70-80%,55<=,0,30,N,Pass
AAA,2013J,232,M,Scotland,A Level or Equivalent,20-30%,0-35,1,30,N,Pass
BBB,2013J,233,F,West Midlands Region,A Level or Equivalent,0-10%,55<=,0,150,N,Fail
BBB,2013J,234,F,East Anglian Region,Lower Than A Level,80-90%,55<=,0,90,N,Fail
DDD,2014B,234,F,East Midlands Region,Post Graduate Qualification,80-90%,0-35,0,30,N,Pass
DDD,2014B,235,M,North Western Region,Lower Than A Level,10-20%,0-35,0,90,Y,Pass
EEE,2013J,235,F,Scotland,Lower Than A Level,10-20%,35-55,1,120,N,Fail
BBB,2013J,236,F,Scotland,No Formal quals,50-60%,55<=,0,90,Y,Pass
AAA,2013J,237,F,South Region,Lower Than A Level,90-100%,55<=,2,90,N,Fail
DDD,2014B,238,M,West Midlands Region,HE Qualification,30-40%,0-35,1,60,N,Fail
BBB,2013J,238,F,South East Region,Post Graduate Qualification,0-10%,55<=,0,90,N,Fail
EEE,2014B,239,M,South East Region,HE Qualification,60-70%,55<=,2,150,N,Withdrawn
AAA,2014B,240,F,London Region,Lower Than A Level,80-90%,0-35,2,60,N,Withdrawn
DDD,2014B,241,F,North Western Region,A Level or Equivalent,60-70%,35-55,1,30,N,Fail
BBB,2013J,241,M,North Region,Lower Than A Level,0-10%,35-55,0,120,N,Pass
AAA,2013J,242,M,South Region,Post Graduate Qualification,90-100%,0-35,0,120,N,Pass
BBB,2013J,243,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,90,N,Fail
DDD,2013J,243,F,North Region,A Level or Equivalent,10-20%,55<=,0,150,Y,Distinction
BBB,2013J,244,F,South East Region,Lower Than A Level,20-30%,55<=,2,150,N,Withdrawn
EEE,2013J,244,M,Wales,Lower Than A Level,50-60%,55<=,1,120,N,Pass
EEE,2014B,245,M,South East Region,Lower Than A Level,20-30%,0-35,0,150,N,Pass
DDD,2013J,245,M,North Western Region,Lower Than A Level,10-20%,35-55,0,90,N,Pass
EEE,2014B,246,M,London Region,No Formal quals,20-30%,0-35,1,120,N,Pass
EEE,2013J,247,M,Scotland,Lower Than A Level,60-70%,35-55,1,90,N,Pass
DDD,2013J,247,M,East Midlands Region,HE Qualification,50-60%,35-55,1,90,N,Fail
AAA,2013J,248,M,Scotland,Post Graduate Qualification,10-20%,0-35,2,90,N,Fail
CCC,2014B,249,F,South East Region,No Formal quals,10-20%,0-35,0,60,N,Pass
AAA,2014B,249,F,West Midlands Region,Lower Than A Level,50-60%,0-35,1,30,N,Withdrawn
BBB,2013J,250,F,London Region,No Formal quals,60-70%,55<=,0,90,N,Pass
DDD,2013J,250,M,South West Region,HE Qualification,70-80%,55<=,2,150,Y,Pass
BBB,2014B,251,F,North Western Region,Lower Than A Level,10-20%,35-55,2,120,N,Pass
EEE,2014B,252,M,Wales,HE Qualification,70-80%,55<=,2,150,N,Distinction
AAA,2013J,252,F,East Anglian Region,Post Graduate Qualification,30-40%,0-35,1,120,N,Pass
EEE,2014B,253,F,Wales,A Level or Equivalent,70-80%,35-55,2,120,N,Pass
BBB,2014B,254,M,South West Region,A Level or Equivalent,40-50%,35-55,0,150,N,Pass
DDD,2013J,255,M,South West Region,No Formal quals,0-10%,0-35,1,90,N,Pass
EEE,2013J,255,M,North Region,Lower Than A Level,60-70%,0-35,2,60,N,Fail
EEE,2013J,256,M,East Anglian Region,HE Qualification,40-50%,35-55,2,150,N,Pass
AAA,2013J,257,M,London Region,Post Graduate Qualification,40-50%,35-55,2,120,N,Pass
AAA,2014B,258,M,North Region,Lower Than A Level,90-100%,55<=,2,120,N,Fail
DDD,2013J,258,M,South Region,HE Qualification,80-90%,55<=,1,150,N,Pass
BBB,2014B,259,F,East Anglian Region,Post Graduate Qualification,30-40%,0-35,0,120,N,Pass
CCC,2013J,259,F,South East Region,A Level or Equivalent,60-70%,35-55,2,60,N,Pass
BBB,2014B,260,M,Scotland,A Level or Equivalent,0-10%,35-55,2,150,N,Pass
EEE,2014B,261,M,South West Region,HE Qualification,70-80%,55<=,2,30,N,Fail
DDD,2013J,261,M,South Region,HE Qualification,80-90%,0-35,1,30,N,Fail
EEE,2013J,262,M,East Midlands Region,HE Qualification,70-80%,55<=,1,120,N,Fail
BBB,2014B,262,M,London Region,Lower Than A Level,0-10%,0-35,1,150,N,Fail
DDD,2014B,263,M,North Region,HE Qualification,0-10%,55<=,2,90,N,Pass
CCC,2014B,263,M,West Midlands Region,Lower Than A Level,60-70%,55<=,0,90,N,Pass
AAA,2013J,264,M,South Region,A Level or Equivalent,30-40%,35-55,0,30,N,Pass
DDD,2013J,264,F,North Western Region,Lower Than A Level,0-10%,35-55,1,30,N,Pass
AAA,2013J,265,M,West Midlands Region,Post Graduate Qualification,70-80%,55<=,1,150,N,Pass
CCC,2014B,265,F,North Region,A Level or Equivalent,80-90%,35-55,1,90,N,Fail
BBB,2013J,266,F,East Midlands Region,No Formal quals,90-100%,55<=,1,60,N,Withdrawn
EEE,2013J,266,F,South West Region,HE Qualification,50-60%,0-35,1,90,N,Pass
CCC,2013J,267,M,South Region,No Formal quals,90-100%,35-55,1,120,N,Fail
CCC,2013J,268,M,South West Region,Post Graduate Qualification,10-20%,0-35,2,90,N,Pass
DDD,2014B,268,M,West Midlands Region,Lower Than A Level,40-50%,35-55,0,150,N,Distinction
BBB,2014B,269,F,East Anglian Region,Post Graduate Qualification,20-30%,35-55,2,120,N,Withdrawn
AAA,2013J,270,M,North Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass
BBB,2014B,271,F,Wales,HE Qualification,0-10%,0-35,2,60,N,Fail
EEE,2013J,272,M,North Region,A Level or Equivalent,0-10%,35-55,0,150,N,Pass
DDD,2013J,273,M,East Anglian Region,No Formal quals,70-80%,55<=,1,150,N,Fail
DDD,2014B,274,F,North Region,Lower Than A Level,10-20%,35-55,0,30,N,Distinction
BBB,2013J,275,M,North Western Region,HE Qualification,20-30%,55<=,2,60,N,Fail
AAA,2013J,275,M,East Anglian Region,Lower Than A Level,10-20%,0-35,2,120,N,Fail
BBB,2014B,276,F,West Midlands Region,Lower Than A Level,30-40%,0-35,1,120,N,Fail
AAA,2013J,276,F,West Midlands Region,Lower Than A Level,80-90%,55<=,0,60,N,Withdrawn
CCC,2013J,277,F,South East Region,A Level or Equivalent,10-20%,0-35,0,150,N,Pass
DDD,2014B,278,F,South East Region,No Formal quals,30-40%,0-35,2,60,N,Pass
BBB,2014B,278,M,Wales,A Level or Equivalent,30-40%,35-55,2,90,N,Fail
BBB,2013J,279,M,North Region,Lower Than A Level,50-60%,0-35,1,90,N,Fail
EEE,2013J,279,F,South West Region,HE Qualification,10-20%,0-35,2,30,N,Distinction
AAA,2013J,280,F,Scotland,No Formal quals,70-80%,55<=,0,60,N,Distinction
CCC,2014B,281,F,Scotland,A Level or Equivalent,20-30%,55<=,2,150,N,Withdrawn
DDD,2013J,281,M,Scotland,Post Graduate Qualification,80-90%,35-55,1,90,Y,Pass
DDD,2014B,282,F,East Midlands Region,Post Graduate Qualification,90-100%,0-35,2,60,Y,Pass
BBB,2013J,282,M,West Midlands Region,Post Graduate Qualification,0-10%,55<=,0,30,N,Fail
CCC,2013J,283,F,Wales,A Level or Equivalent,60-70%,0-35,0,150,N,Pass
EEE,2013J,284,F,Wales,Lower Than A Level,60-70%,0-35,0,120,N,Distinction
CCC,2013J,285,M,Scotland,No Formal quals,50-60%,0-35,1,120,N,Pass
AAA,2013J,285,M,North Western Region,Post Graduate Qualification,80-90%,0-35,1,60,Y,Fail
AAA,2013J,286,F,Scotland,No Formal quals,90-100%,0-35,1,120,N,Fail
BBB,2013J,287,M,Wales,A Level or Equivalent,30-40%,35-55,1,60,N,Pass
EEE,2014B,287,F,South West Region,No Formal quals,70-80%,0-35,2,150,N,Distinction
BBB,2013J,288,F,East Anglian Region,Post Graduate Qualification,40-50%,35-55,2,60,N,Pass
EEE,2013J,288,F,London Region,A Level or Equivalent,20-30%,55<=,1,90,N,Fail
AAA,2014B,289,F,East Midlands Region,No Formal quals,90-100%,35-55,0,150,N,Fail
CCC,2013J,289,M,North Region,No Formal quals,50-60%,0-35,1,90,N,Withdrawn
DDD,2014B,290,M,South East Region,HE Qualification,90-100%,0-35,1,120,N,Fail
CCC,2013J,290,F,South Region,Lower Than A Level,10-20%,55<=,0,60,Y,Withdrawn
EEE,2013J,291,F,Wales,A Level or Equivalent,70-80%,35-55,1,60,N,Distinction
BBB,2014B,291,M,South Region,No Formal quals,30-40%,0-35,0,150,N,Withdrawn
BBB,2014B,292,M,West Midlands Region,Lower Than A Level,60-70%,55<=,1,120,N,Fail
AAA,2013J,293,F,East Anglian Region,HE Qualification,50-60%,55<=,1,150,N,Pass
DDD,2014B,293,F,London Region,Lower Than A Level,0-10%,0-35,2,90,N,Pass
BBB,2013J,294,M,North Region,HE Qualification,50-60%,35-55,0,150,N,Pass
AAA,2013J,294,M,South Region,Post Graduate Qualification,60-70%,55<=,2,90,N,Withdrawn
EEE,2013J,295,F,Wales,HE Qualification,0-10%,35-55,0,120,N,Pass
BBB,2013J,296,F,South Region,No Formal quals,30-40%,0-35,2,120,N,Withdrawn
BBB,2014B,297,M,North Region,Post Graduate Qualification,30-40%,55<=,0,150,N,Pass
AAA,2013J,298,M,East Midlands Region,Post Graduate Qualification,70-80%,55<=,2,90,N,Pass
DDD,2014B,298,M,South East Region,A Level or Equivalent,50-60%,35-55,2,90,N,Pass
DDD,2014B,299,F,London Region,Post Graduate Qualification,50-60%,55<=,2,90,N,Withdrawn
CCC,2014B,299,F,North Region,Post Graduate Qualification,20-30%,0-35,0,150,N,Distinction
CCC,2014B,300,F,South Region,Lower Than A Level,0-10%,55<=,1,60,N,Withdrawn
AAA,2013J,301,M,East Midlands Region,A Level or Equivalent,80-90%,35-55,0,90,Y,Pass
EEE,2014B,302,F,South Region,No Formal quals,70-80%,0-35,2,60,N,Fail
AAA,2013J,303,M,South East Region,HE Qualification,10-20%,0-35,0,60,N,Fail
CCC,2013J,303,F,North Region,Lower Than A Level,30-40%,0-35,0,120,N,Pass
AAA,2014B,304,M,South West Region,A Level or Equivalent,80-90%,0-35,2,150,N,Pass
AAA,2014B,305,M,Scotland,Post Graduate Qualification,20-30%,55<=,2,90,N,Fail
BBB,2013J,305,F,South East Region,HE Qualification,30-40%,35-55,1,90,N,Withdrawn
DDD,2013J,306,M,East Anglian Region,A Level or Equivalent,90-100%,55<=,1,150,N,Fail
CCC,2014B,306,F,North Western Region,No Formal quals,10-20%,55<=,1,150,Y,Withdrawn
AAA,2013J,307,M,East Midlands Region,No Formal quals,60-70%,0-35,0,90,N,Pass
CCC,2014B,307,M,Wales,Post Graduate Qualification,50-60%,35-55,2,90,N,Fail
BBB,2014B,308,M,South Region,Lower Than A Level,10-20%,0-35,1,150,Y,Pass
EEE,2013J,308,F,South East Region,HE Qualification,60-70%,0-35,0,90,N,Pass
BBB,2013J,309,F,North Region,No Formal quals,60-70%,0-35,1,150,N,Pass
AAA,2013J,309,F,South West Region,No Formal quals,20-30%,55<=,1,120,N,Pass
BBB,2014B,310,F,South West Region,A Level or Equivalent,30-40%,55<=,2,150,Y,Pass
DDD,2014B,310,M,North Western Region,HE Qualification,40-50%,0-35,2,60,N,Pass
CCC,2014B,311,F,West Midlands Region,HE Qualification,80-90%,35-55,0,30,N,Fail
BBB,2013J,312,F,Wales,Lower Than A Level,80-90%,35-55,1,150,Y,Pass
CCC,2013J,312,F,East Midlands Region,Post Graduate Qualification,20-30%,55<=,2,30,N,Distinction
CCC,2014B,313,M,South East Region,No Formal quals,40-50%,0-35,1,60,N,Fail
DDD,2014B,314,M,Scotland,HE Qualification,60-70%,55<=,2,90,N,Fail
BBB,2013J,315,M,South West Region,Lower Than A Level,10-20%,55<=,2,30,N,Fail
CCC,2013J,315,F,East Anglian Region,No Formal quals,90-100%,55<=,1,90,N,Fail
AAA,2014B,316,F,North Western Region,Post Graduate Qualification,70-80%,55<=,2,150,N,Distinction
CCC,2013J,316,M,North Region,Lower Than A Level,60-70%,55<=,2,150,N,Pass
BBB,2013J,317,M,Scotland,Lower Than A Level,70-80%,55<=,1,60,Y,Fail
BBB,2013J,318,M,South East Region,No Formal quals,0-10%,55<=,0,150,Y,Fail
CCC,2014B,319,M,East Midlands Region,No Formal quals,50-60%,35-55,0,90,N,Withdrawn
EEE,2013J,319,M,North Western Region,HE Qualification,70-80%,55<=,1,30,N,Distinction
BBB,2013J,320,F,London Region,A Level or Equivalent,80-90%,35-55,0,90,N,Fail
EEE,2013J,321,M,Scotland,Post Graduate Qualification,70-80%,55<=,1,60,N,Pass
BBB,2013J,321,F,North Region,HE Qualification,60-70%,55<=,1,60,N,Pass
BBB,2013J,322,F,West Midlands Region,HE Qualification,80-90%,35-55,0,90,N,Fail
CCC,2013J,322,F,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,Distinction
DDD,2013J,323,M,South East Region,No Formal quals,30-40%,0-35,0,60,N,Distinction
DDD,2014B,324,F,South West Region,No Formal quals,60-70%,0-35,1,60,N,Fail
EEE,2013J,325,F,East Midlands Region,No Formal quals,90-100%,55<=,1,90,N,Pass
BBB,2014B,326,M,North Western Region,HE Qualification,30-40%,55<=,0,120,N,Fail
CCC,2013J,326,M,North Region,Post Graduate Qualification,60-70%,35-55,2,30,Y,Pass
AAA,2014B,327,F,North Western Region,A Level or Equivalent,0-10%,55<=,0,150,N,Fail
EEE,2014B,327,M,North Region,A Level or Equivalent,60-70%,35-55,0,30,Y,Fail
AAA,2014B,328,F,North Western Region,Lower Than A Level,50-60%,0-35,1,90,N,Pass
AAA,2014B,329,F,North Region,Lower Than A Level,60-70%,0-35,0,30,N,Distinction
BBB,2014B,329,F,North Western Region,Lower Than A Level,20-30%,35-55,0,90,N,Pass
BBB,2013J,330,F,Wales,HE Qualification,10-20%,55<=,0,30,N,Pass
AAA,2013J,331,F,North Western Region,Post Graduate Qualification,0-10%,55<=,1,60,N,Pass
BBB,2013J,331,F,London Region,A Level or Equivalent,30-40%,55<=,2,90,N,Withdrawn
AAA,2013J,332,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,1,60,N,Withdrawn
CCC,2013J,332,F,East Midlands Region,Lower Than A Level,50-60%,35-55,0,150,N,Pass
BBB,2014B,333,M,Wales,A Level or Equivalent,90-100%,0-35,2,30,N,Distinction
AAA,2014B,334,M,South West Region,HE Qualification,40-50%,0-35,2,30,N,Pass
DDD,2014B,334,M,Scotland,HE Qualification,30-40%,35-55,1,60,N,Distinction
DDD,2013J,335,M,East Anglian Region,Post Graduate Qualification,30-40%,0-35,1,90,N,Fail
EEE,2014B,335,F,East Midlands Region,Post Graduate Qualification,50-60%,35-55,1,60,N,Distinction
DDD,2013J,336,M,South West Region,No Formal quals,90-100%,0-35,2,60,N,Distinction
DDD,2014B,337,F,South East Region,A Level or Equivalent,0-10%,35-55,0,120,N,Pass
AAA,2014B,337,F,East Midlands Region,Lower Than A Level,90-100%,55<=,2,120,N,Distinction
BBB,2013J,338,F,East Midlands Region,Post Graduate Qualification,20-30%,35-55,1,150,N,Withdrawn
DDD,2013J,339,M,Scotland,A Level or Equivalent,0-10%,35-55,1,30,N,Withdrawn
EEE,2014B,340,M,East Anglian Region,Post Graduate Qualification,40-50%,0-35,1,150,N,Pass
BBB,2014B,341,F,South East Region,Post Graduate Qualification,0-10%,35-55,2,30,N,Withdrawn
AAA,2014B,342,M,South Region,Lower Than A Level,10-20%,35-55,1,150,N,Fail
BBB,2014B,342,F,East Midlands Region,Post Graduate Qualification,0-10%,35-55,2,150,N,Fail
BBB,2014B,343,M,South West Region,Post Graduate Qualification,90-100%,0-35,2,120,N,Pass
DDD,2013J,343,M,Scotland,A Level or Equivalent,0-10%,55<=,1,150,N,Fail
DDD,2013J,344,M,South West Region,Lower Than A Level,90-100%,55<=,1,90,Y,Pass
CCC,2014B,345,M,South East Region,A Level or Equivalent,30-40%,0-35,1,120,N,Pass
AAA,2013J,345,M,South East Region,Lower Than A Level,70-80%,0-35,2,90,N,Pass
CCC,2014B,346,F,South West Region,No Formal quals,80-90%,55<=,1,60,N,Distinction
EEE,2013J,347,F,West Midlands Region,HE Qualification,0-10%,0-35,0,60,N,Pass
BBB,2013J,348,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,1,150,N,Pass
CCC,2014B,348,F,South Region,No Formal quals,10-20%,0-35,0,30,N,Distinction
BBB,2014B,349,M,London Region,Post Graduate Qualification,40-50%,55<=,2,60,N,Pass
EEE,2013J,350,M,Scotland,HE Qualification,90-100%,55<=,0,120,N,Fail
CCC,2013J,350,M,London Region,HE Qualification,60-70%,35-55,2,120,N,Fail
CCC,2014B,351,M,East Anglian Region,HE Qualification,90-100%,35-55,1,150,N,Fail
BBB,2014B,351,F,South West Region,HE Qualification,90-100%,35-55,1,30,N,Pass
EEE,2013J,352,F,East Anglian Region,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass
AAA,2013J,353,M,South West Region,HE Qualification,10-20%,55<=,1,90,N,Fail
CCC,2014B,353,F,North Western Region,A Level or Equivalent,50-60%,0-35,1,60,N,Fail
AAA,2014B,354,M,North Region,Post Graduate Qualification,40-50%,55<=,0,90,N,Pass
BBB,2013J,354,F,Wales,No Formal quals,40-50%,0-35,2,90,N,Pass
DDD,2014B,355,F,West Midlands Region,No Formal quals,20-30%,55<=,1,60,N,Pass
DDD,2013J,356,M,North Western Region,Lower Than A Level,0-10%,55<=,1,150,N,Fail
CCC,2013J,356,F,Scotland,No Formal quals,20-30%,35-55,0,60,N,Pass
BBB,2014B,357,M,Scotland,A Level or Equivalent,40-50%,35-55,0,120,N,Fail
EEE,2014B,358,F,Wales,No Formal quals,10-20%,35-55,2,120,N,Pass
CCC,2013J,358,F,North Region,No Formal quals,50-60%,35-55,2,60,Y,Fail
EEE,2014B,359,M,East Midlands Region,HE Qualification,10-20%,0-35,1,90,N,Fail
DDD,2014B,359,F,South East Region,A Level or Equivalent,80-90%,55<=,2,60,N,Pass
AAA,2013J,360,M,Scotland,A Level or Equivalent,0-10%,0-35,1,120,N,Pass
AAA,2014B,361,M,Wales,A Level or Equivalent,60-70%,0-35,2,60,N,Withdrawn
CCC,2013J,361,M,West Midlands Region,HE Qualification,30-40%,35-55,2,60,N,Pass
EEE,2014B,362,F,Wales,HE Qualification,70-80%,35-55,0,150,N,Distinction
AAA,2013J,363,F,South East Region,Post Graduate Qualification,10-20%,55<=,1,150,N,Fail
AAA,2014B,364,F,South West Region,Post Graduate Qualification,80-90%,55<=,0,150,N,Withdrawn
DDD,2013J,365,F,West Midlands Region,Post Graduate Qualification,20-30%,55<=,2,120,N,Pass
EEE,2013J,366,M,Wales,No Formal quals,0-10%,55<=,2,150,N,Pass
BBB,2014B,367,M,South East Region,No Formal quals,0-10%,0-35,0,120,N,Fail
CCC,2013J,368,F,South East Region,Lower Than A Level,90-100%,35-55,0,30,N,Fail
DDD,2013J,369,F,Wales,No Formal quals,20-30%,35-55,2,60,N,Withdrawn
EEE,2014B,370,F,Wales,Lower Than A Level,80-90%,0-35,0,60,N,Pass
BBB,2013J,370,M,Scotland,HE Qualification,30-40%,0-35,0,150,N,Pass
CCC,2014B,371,M,South West Region,A Level or Equivalent,0-10%,55<=,2,90,N,Fail
BBB,2014B,371,M,North Region,Post Graduate Qualification,0-10%,55<=,0,120,N,Distinction
DDD,2014B,372,M,South East Region,HE Qualification,30-40%,35-55,1,120,N,Fail
AAA,2014B,372,M,Scotland,Post Graduate Qualification,0-10%,55<=,0,120,N,Pass
BBB,2014B,373,F,Wales,No Formal quals,0-10%,35-55,0,150,N,Fail
BBB,2014B,374,M,East Midlands Region,Post Graduate Qualification,40-50%,55<=,1,60,N,Withdrawn
AAA,2014B,374,M,South West Region,No Formal quals,90-100%,35-55,1,90,N,Distinction
BBB,2014B,375,M,Wales,HE Qualification,80-90%,0-35,0,60,N,Pass
CCC,2013J,375,F,North Region,Lower Than A Level,20-30%,35-55,0,150,N,Withdrawn
DDD,2014B,376,M,North Region,HE Qualification,0-10%,55<=,1,90,N,Withdrawn
AAA,2013J,377,F,Wales,No Formal quals,10-20%,55<=,1,30,N,Pass
CCC,2013J,377,M,North Western Region,A Level or Equivalent,40-50%,55<=,0,90,N,Pass
CCC,2013J,378,F,South West Region,Lower Than A Level,40-50%,0-35,0,30,Y,Fail
AAA,2013J,379,M,London Region,A Level or Equivalent,30-40%,55<=,0,150,N,Pass
DDD,2014B,380,M,Wales,Post Graduate Qualification,30-40%,0-35,0,120,N,Fail
DDD,2014B,381,M,West Midlands Region,Lower Than A Level,20-30%,55<=,0,30,N,Pass
EEE,2013J,381,F,West Midlands Region,Post Graduate Qualification,20-30%,35-55,2,90,N,Fail
CCC,2013J,382,M,London Region,Post Graduate Qualification,50-60%,35-55,1,90,N,Fail
CCC,2014B,383,F,South West Region,Post Graduate Qualification,10-20%,35-55,2,30,N,Pass
DDD,2014B,384,F,South Region,Post Graduate Qualification,80-90%,35-55,2,120,N,Distinction
BBB,2013J,385,F,South East Region,No Formal quals,10-20%,35-55,1,120,N,Pass
CCC,2013J,386,F,East Midlands Region,Lower Than A Level,60-70%,55<=,2,60,Y,Pass
EEE,2014B,386,M,Scotland,Post Graduate Qualification,50-60%,35-55,0,60,N,Withdrawn
EEE,2014B,387,M,East Anglian Region,No Formal quals,70-80%,35-55,1,30,N,Fail
AAA,2014B,387,F,East Midlands Region,Lower Than A Level,20-30%,0-35,1,120,N,Pass
CCC,2013J,388,F,East Midlands Region,No Formal quals,30-40%,35-55,1,150,N,Fail
DDD,2014B,388,M,North Western Region,HE Qualification,80-90%,35-55,0,150,N,Pass
EEE,2013J,389,M,North Western Region,Lower Than A Level,90-100%,0-35,2,150,N,Fail
CCC,2013J,390,F,North Region,No Formal quals,20-30%,55<=,0,60,N,Withdrawn
AAA,2014B,390,F,South East Region,Post Graduate Qualification,10-20%,55<=,2,90,N,Pass
DDD,2014B,391,F,East Midlands Region,Post Graduate Qualification,60-70%,55<=,0,150,N,Fail
BBB,2013J,391,F,North Region,A Level or Equivalent,50-60%,0-35,2,120,Y,Pass
EEE,2013J,392,M,South West Region,A Level or Equivalent,50-60%,35-55,0,150,N,Pass
DDD,2013J,393,F,North Region,Lower Than A Level,10-20%,35-55,1,150,N,Distinction
AAA,2013J,393,F,Wales,No Formal quals,30-40%,0-35,2,60,N,Pass
EEE,2014B,394,M,South West Region,Post Graduate Qualification,10-20%,0-35,2,60,N,Pass
CCC,2013J,395,M,South Region,Lower Than A Level,70-80%,0-35,2,30,N,Distinction
DDD,2013J,395,M,South West Region,A Level or Equivalent,30-40%,55<=,2,60,N,Pass
BBB,2013J,396,F,South Region,Lower Than A Level,20-30%,35-55,1,120,N,Fail
CCC,2013J,397,F,Scotland,Post Graduate Qualification,30-40%,35-55,0,30,N,Withdrawn
DDD,2013J,398,M,South East Region,Post Graduate Qualification,90-100%,0-35,1,90,N,Distinction
BBB,2014B,399,F,South West Region,Lower Than A Level,40-50%,35-55,1,90,N,Pass
BBB,2013J,400,F,North Region,No Formal quals,70-80%,55<=,1,150,N,Distinction
CCC,2013J,401,M,South East Region,A Level or Equivalent,50-60%,0-35,1,150,Y,Pass
EEE,2014B,401,M,North Region,Post Graduate Qualification,50-60%,55<=,1,150,N,Pass
EEE,2013J,402,M,East Anglian Region,Lower Than A Level,70-80%,55<=,0,150,N,Fail
AAA,2013J,403,M,Wales,Lower Than A Level,0-10%,55<=,1,60,N,Distinction
CCC,2014B,404,F,South East Region,A Level or Equivalent,60-70%,35-55,1,150,N,Withdrawn
BBB,2013J,405,M,South Region,No Formal quals,80-90%,55<=,2,90,N,Fail
CCC,2013J,405,F,East Anglian Region,A Level or Equivalent,20-30%,55<=,0,90,N,Pass
